,name,categories,latitude,longitude,neighborhood,NPU
0,CFA  Cafe,Café,33.61334689490348,-84.48928244340222,,B
1,Tropical Cuisine,Caribbean Restaurant,33.62208301876806,-84.47659782473194,,B
2,College Park Crab Pot,Seafood Restaurant,33.61577075550143,-84.47607467180033,,B
3,Bojangles' Famous Chicken 'n Biscuits,Fast Food Restaurant,33.615125,-84.472216,,B
4,Big Daddy's Dish,Southern / Soul Food Restaurant,33.603378307449,-84.47293649559136,,A
5,LA Fitness,Gym / Fitness Center,33.61083304190771,-84.46179731888478,,B
6,Yasins Homestyle Seafood,Seafood Restaurant,33.61022983509784,-84.47090461822481,,B
7,Backstage Night Club & Lounge,Nightclub,33.61694834943027,-84.4715758172479,,B
8,Grown Folks Cafe,Nightclub,33.60560034491256,-84.47219785259487,,B
9,Cozumel The Mexican Cantina,Mexican Restaurant,33.61759899701375,-84.47228160313462,,B
10,Madhouse Sports Bar & Grill,Sports Bar,33.61164459369106,-84.47154520704898,,B
11,Kilroy's Package Store,Liquor Store,33.622651123982294,-84.47540527737316,,B
12,Zab-E-Lee Thai & Sushi,Thai Restaurant,33.623657961513366,-84.47635968325763,,B
13,Dairy Queen,Fast Food Restaurant,33.63767012385252,-84.46158438920975,,B
14,Golden Krust Caribbean Bakery and Grill,Caribbean Restaurant,33.59092674958568,-84.46887717503206,,B
15,Camp Creek World of Beverages,Liquor Store,33.657392954544385,-84.51187386910071,,B
16,Nancy's Chicago Pizza,Pizza Place,33.65769947013644,-84.50046908294554,,B
17,National Car Rental,Rental Car Location,33.6398924,-84.4642402,,B
18,Welcome All Park,Park,33.631242776697995,-84.52682928836462,,B
19,Piece of Cake,Bakery,33.6562182533563,-84.5139461567595,,B
20,Walgreens,Pharmacy,33.5883285,-84.4684741,,B
21,Atlanta Airport Marriott,Hotel,33.6260609,-84.4606404,,B
22,Chick-fil-A,Fast Food Restaurant,33.6564559,-84.501688,,B
23,Kravn Wings,Wings Joint,33.615833760502376,-84.461491971769,,B
24,Jason's Deli,Deli / Bodega,33.6558441959347,-84.50939719553521,,B
25,RaceTrac,Gas Station,33.653822,-84.504155,,B
26,Subway,Sandwich Place,33.62222451472084,-84.50240871104984,,B
27,Subway,Sandwich Place,33.59706371959,-84.4984480345501,,B
28,Dollar Tree,Discount Store,33.657936105990906,-84.49943051882782,,B
29,Courtyard Atlanta Airport West,Hotel,33.65490999626373,-84.49978782795824,,B
30,Rio Body Wax,Spa,33.65659987917157,-84.50960630207466,,B
31,The Juicy Crab,Seafood Restaurant,33.65795973816715,-84.50159754149725,,B
32,Five Guys,Burger Joint,33.655038146128355,-84.50720062770608,,B
33,Waffle House,Breakfast Spot,33.623178341628034,-84.47395990704305,,B
34,Movies ATL (AMC 14),Movie Theater,33.657822483087955,-84.51059507491658,,B
35,Massage Envy - Camp Creek,Spa,33.656842417732015,-84.5097741865082,,B
36,BJ's Wholesale Club,Warehouse Store,33.658907472445435,-84.5048180556548,,B
37,Starship Enterprises,Miscellaneous Shop,33.60923948869771,-84.4706835685148,,B
38,LA Fitness,Gym / Fitness Center,33.656840044622896,-84.50830230084745,,B
39,Zaxby's Chicken Fingers & Buffalo Wings,Fried Chicken Joint,33.588604,-84.471832,,B
40,Publix,Grocery Store,33.65619973224598,-84.51078007336898,,B
41,Spoons Sports Bar,BBQ Joint,33.61828328472842,-84.47252984819835,,B
42,RaceTrac,Gas Station,33.648493,-84.463013,Airport South,B
43,DSW Designer Shoe Warehouse,Shoe Store,33.656955,-84.509242,,B
44,Starbucks Marriott Airport Hotel,Coffee Shop,33.626256035069794,-84.46032146540038,,A
45,Walgreens,Pharmacy,33.65630769131411,-84.51328918758918,,B
46,Pizza Bar,Pizza Place,33.65485777777627,-84.50560849185052,,B
47,Smoothie King,Smoothie Shop,33.586774083530514,-84.47222471237183,,B
48,Old National Discount Mall,Flea Market,33.61552988060527,-84.47509307490523,,B
49,Family Dollar,Discount Store,33.62273278644753,-84.5016250758102,,B
20,QuikTrip,Convenience Store,33.60871847798547,-84.43541160327722,,B
22,The Corner Grille,Restaurant,33.651016516417805,-84.44975348752914,,B
24,Voya Bistro,Bar,33.62635112651926,-84.46041750654436,,B
25,Renaissance Atlanta Airport Gateway Hotel,Hotel,33.644120136600144,-84.45527401586912,,B
26,Varasano's Pizza,Pizza Place,33.64082065063238,-84.43962564033944,,B
27,Delta Sky Club,Airport Lounge,33.6410332522783,-84.43597693664228,,B
29,Zimbabwe: A Tradition in Stone,Art Gallery,33.64074521002435,-84.4425388597648,,B
30,Chicken & Beer,Fried Chicken Joint,33.638494329766836,-84.42931835167796,,B
31,Atlanta Airport Marriott Gateway,Hotel,33.6442308,-84.4553054,,B
32,A Walk Through Atlanta History,Art Gallery,33.640806960249776,-84.4330108015916,,B
33,Hot Cafe,Thai Restaurant,33.611082316584834,-84.43631087270174,,B
35,Starbucks,Coffee Shop,33.640891019506924,-84.44476896024125,,B
37,Kiehl's,Cosmetics Shop,33.640772153589545,-84.43577446385616,,B
38,Martini's,Hotel Bar,33.626839835597245,-84.45746895781883,,B
39,SkyTrain Station: Rental Car Center,Tram Station,33.639782193468776,-84.4635035732549,,B
40,Fresh Healthy Cafe,Snack Place,33.64273259262432,-84.43259487705545,,B
41,L'Occitane en Provence,Cosmetics Shop,33.64271736499331,-84.43914081455947,,B
42,Noodle,Asian Restaurant,33.65440541636192,-84.44965046221365,,B
43,Delta Sky Club,Airport Lounge,33.64188240778042,-84.4326535765314,,B
44,Burger Theory,Burger Joint,33.627974153316934,-84.45235047743255,,A
46,P.F. Chang's,Chinese Restaurant,33.64071556171471,-84.43928128477637,,B
47,Delta Sky Club,Airport Lounge,33.64054190775786,-84.43917647847199,,B
48,Pinkberry,Frozen Yogurt Shop,33.638925,-84.439086,,B
49,Park'N Ticket,Parking,33.647917729091965,-84.45461847119697,,B
5,One Flew South Restaurant & Sushi Bar,Sushi Restaurant,33.64093541637026,-84.42590997894764,,B
11,Aldi,Grocery Store,33.596542377265074,-84.42797631025314,,B
16,Buka2,African Restaurant,33.60695015657187,-84.43491927837545,,B
19,Five Guys,Burger Joint,33.642195925020374,-84.43255643129739,,B
26,Ecco,Restaurant,33.6395414666171,-84.41976676290575,,B
30,Delta Sky Club,Airport Lounge,33.64012851189849,-84.41970810597721,,B
33,Dollar General,Discount Store,33.60176005668626,-84.43092640647409,,B
34,Café Intermezzo,Café,33.64077945058011,-84.43563223133248,,B
38,Delta Sky Club,Airport Lounge,33.640338628031316,-84.42484080791473,,B
40,Chick-fil-A,Fast Food Restaurant,33.640942,-84.439541,,B
42,Freshens,Juice Bar,33.642254753720074,-84.43920952295812,,B
43,Papi's Cuban and Caribbean Grill,Caribbean Restaurant,33.64000911686688,-84.44266448204162,,B
47,The Sky Deck,Roof Deck,33.640013746701975,-84.42012206849685,,B
48,Subway Concourse E,Sandwich Place,33.64085888938006,-84.42632411809494,,B
4,Don Burrito Grill,Burrito Place,33.620569052452936,-84.39705777173457,,A
9,Market Grocery Co.,Grocery Store,33.619664649458485,-84.3887932120475,,B
13,Comfort Suites,Motel,33.6168752,-84.4055401,,B
20,The Club at ATL,Travel Lounge,33.640461313580076,-84.41918758483048,,B
23,Delta Flight Museum,Museum,33.656201228272415,-84.42214484894274,,B
25,Atlanta State Farmers Market,Farmers Market,33.620261409800605,-84.39525039420727,,B
27,Grindhouse Killer Burger,Burger Joint,33.64245674933391,-84.42939049742039,,B
32,Chick-fil-A,Fast Food Restaurant,33.6563816,-84.4040053,,B
35,Pit Boss BBQ,BBQ Joint,33.65836996168346,-84.41721838910712,,B
36,Volare,Italian Restaurant,33.65889960673664,-84.40881692648153,,B
37,IHOP,Breakfast Spot,33.65366505728827,-84.39737447621485,,B
38,Zesto Drive-Ins,Fast Food Restaurant,33.619157865453694,-84.38362986176,,B
40,Chick-fil-A,Fast Food Restaurant,33.656296,-84.424104,,B
42,Drip Coffee Shop,Coffee Shop,33.65890087190095,-84.40870151068687,,B
45,Paschal's Express,Southern / Soul Food Restaurant,33.640769016459394,-84.43624661023807,,B
46,Grecian Gyro,Greek Restaurant,33.659000213804376,-84.41705301404,,B
47,Delta 747 Museum,Museum,33.656962,-84.421723,,B
48,Delta Sky Club,Airport Lounge,33.64211312732959,-84.42930302804857,,B
49,Fresh To Order,Sandwich Place,33.64078496799341,-84.43605481137823,,B
5,Forest Park Army Navy Store,Sporting Goods Shop,33.6202888484156,-84.3617543337842,,B
8,Pho Dai Loi - Forest Park,Vietnamese Restaurant,33.64387375498953,-84.36403561530216,,B
11,Chick-fil-A,Fast Food Restaurant,33.6190353,-84.3517361,,B
12,Starr park,Park,33.618335232710194,-84.36662979436238,,B
14,Grecian Gyro,Greek Restaurant,33.63073802727157,-84.38631712636993,,B
15,Golden Gate,Chinese Restaurant,33.63584796380687,-84.35963300561288,,B
18,"Range, Guns & Safes",Sporting Goods Shop,33.62843154126965,-84.39909002362704,,B
22,Kimpton Overland Hotel,Hotel,33.65272345168233,-84.40053064972017,,B
24,Jimmy John's,Sandwich Place,33.63029266002558,-84.38559709763814,,B
27,Jersey Mike's Subs,Sandwich Place,33.64020538330078,-84.4180679321289,,B
29,Penske Truck Rental,Rental Car Location,33.61264066696247,-84.38027510050233,,B
32,Scott Antique Market (Atlanta Expo Center South),Antique Shop,33.65064235504812,-84.36406019411818,,B
33,Restaurant 356,Restaurant,33.6517714391016,-84.39866554426999,,B
35,Pho Lanxang,Asian Restaurant,33.63023358944029,-84.35681444939306,,B
37,Mami's La Cubana,Caribbean Restaurant,33.65847996493714,-84.40806902078579,,B
38,J. Buffalos House,Restaurant,33.61488059038563,-84.34907427173799,,B
41,Little Giant Farmer's Market,Farmers Market,33.5823857288338,-84.380031413494,,B
42,Sombreros Mexican Cantina,Mexican Restaurant,33.655680799039104,-84.40236514572337,,B
43,Corner Tavern,Bar,33.65814128579303,-84.40760635174054,,B
44,Crest Package Store,Liquor Store,33.65429386232922,-84.4006781012216,,A
45,Kiehl's,Cosmetics Shop,33.63985365741268,-84.41967683056635,,B
46,Streatery - Peachtree,Food Truck,33.639718317015124,-84.4325265720795,,B
47,Lake City International Farmers Market,Grocery Store,33.61272024141653,-84.34791402969691,,B
48,Pandora,Jewelry Store,33.641284110515606,-84.42593173976229,,B
49,Best Western Plus Atlanta Airport-East,Hotel,33.65420897495376,-84.39719035719463,,B
11,Anne & Bill's Restaurant,Southern / Soul Food Restaurant,33.61869893954383,-84.35568428401746,,B
14,Walgreens,Pharmacy,33.600083445680305,-84.33989524841309,,B
