,name,categories,latitude,longitude,neighborhood
0,CFA  Cafe,Café,33.61334689490348,-84.48928244340222,
1,Tropical Cuisine,Caribbean Restaurant,33.62208301876806,-84.47659782473194,
2,College Park Crab Pot,Seafood Restaurant,33.61577075550143,-84.47607467180033,
3,Bojangles' Famous Chicken 'n Biscuits,Fast Food Restaurant,33.615125,-84.472216,
4,Big Daddy's Dish,Southern / Soul Food Restaurant,33.603378307449,-84.47293649559136,
5,LA Fitness,Gym / Fitness Center,33.61083304190771,-84.46179731888478,
6,Yasins Homestyle Seafood,Seafood Restaurant,33.61022983509784,-84.47090461822481,
7,Backstage Night Club & Lounge,Nightclub,33.61694834943027,-84.4715758172479,
8,Grown Folks Cafe,Nightclub,33.60560034491256,-84.47219785259487,
9,Cozumel The Mexican Cantina,Mexican Restaurant,33.61759899701375,-84.47228160313462,
10,Madhouse Sports Bar & Grill,Sports Bar,33.61164459369106,-84.47154520704898,
11,Kilroy's Package Store,Liquor Store,33.622651123982294,-84.47540527737316,
12,Zab-E-Lee Thai & Sushi,Thai Restaurant,33.623657961513366,-84.47635968325763,
13,Dairy Queen,Fast Food Restaurant,33.63767012385252,-84.46158438920975,
14,Golden Krust Caribbean Bakery and Grill,Caribbean Restaurant,33.59092674958568,-84.46887717503206,
15,Camp Creek World of Beverages,Liquor Store,33.657392954544385,-84.51187386910071,
16,Nancy's Chicago Pizza,Pizza Place,33.65769947013644,-84.50046908294554,
17,National Car Rental,Rental Car Location,33.6398924,-84.4642402,
18,Welcome All Park,Park,33.631242776697995,-84.52682928836462,
19,Piece of Cake,Bakery,33.6562182533563,-84.5139461567595,
20,Walgreens,Pharmacy,33.5883285,-84.4684741,
21,Atlanta Airport Marriott,Hotel,33.6260609,-84.4606404,
22,Chick-fil-A,Fast Food Restaurant,33.6564559,-84.501688,
23,Kravn Wings,Wings Joint,33.615833760502376,-84.461491971769,
24,Jason's Deli,Deli / Bodega,33.6558441959347,-84.50939719553521,
25,RaceTrac,Gas Station,33.653822,-84.504155,
26,Subway,Sandwich Place,33.62222451472084,-84.50240871104984,
27,Subway,Sandwich Place,33.59706371959,-84.4984480345501,
28,Dollar Tree,Discount Store,33.657936105990906,-84.49943051882782,
29,Courtyard Atlanta Airport West,Hotel,33.65490999626373,-84.49978782795824,
30,Rio Body Wax,Spa,33.65659987917157,-84.50960630207466,
31,The Juicy Crab,Seafood Restaurant,33.65795973816715,-84.50159754149725,
32,Five Guys,Burger Joint,33.655038146128355,-84.50720062770608,
33,Waffle House,Breakfast Spot,33.623178341628034,-84.47395990704305,
34,Movies ATL (AMC 14),Movie Theater,33.657822483087955,-84.51059507491658,
35,Massage Envy - Camp Creek,Spa,33.656842417732015,-84.5097741865082,
36,BJ's Wholesale Club,Warehouse Store,33.658907472445435,-84.5048180556548,
37,Starship Enterprises,Miscellaneous Shop,33.60923948869771,-84.4706835685148,
38,LA Fitness,Gym / Fitness Center,33.656840044622896,-84.50830230084745,
39,Zaxby's Chicken Fingers & Buffalo Wings,Fried Chicken Joint,33.588604,-84.471832,
40,Publix,Grocery Store,33.65619973224598,-84.51078007336898,
41,Spoons Sports Bar,BBQ Joint,33.61828328472842,-84.47252984819835,
42,RaceTrac,Gas Station,33.648493,-84.463013,Airport South
43,DSW Designer Shoe Warehouse,Shoe Store,33.656955,-84.509242,
44,Starbucks Marriott Airport Hotel,Coffee Shop,33.626256035069794,-84.46032146540038,
45,Walgreens,Pharmacy,33.65630769131411,-84.51328918758918,
46,Pizza Bar,Pizza Place,33.65485777777627,-84.50560849185052,
47,Smoothie King,Smoothie Shop,33.586774083530514,-84.47222471237183,
