,name,categories,latitude,longitude,neighborhood
0,Fish Bowl Poké,34,33.75572717691757,-84.38940018084884,2
1,Blossom Tree,23,33.755496025459365,-84.38900575560557,3
2,Dua Vietnamese Noodle Soup,44,33.75560963018946,-84.38953015424566,3
3,Reuben's Deli,9,33.75568700591916,-84.38944177070124,3
4,Anatolia Cafe & Hookah Lounge,16,33.755119638653156,-84.38941330353451,3
5,Ebrik Coffee Room,7,33.753897,-84.388782,3
6,Rialto Center for the Arts,31,33.756813077867285,-84.38923876475026,3
7,Walgreens,32,33.7543449048952,-84.38948411535989,3
8,NaanStop,20,33.755792460006006,-84.38927438016196,3
9,Smoothie King,37,33.756057,-84.389171,3
10,The Food Shoppe,5,33.75825335562448,-84.39058182878813,3
11,Weekday Cafe,3,33.75427813699731,-84.38889188050935,3
12,Café Lucia,4,33.755854319443735,-84.39006949874123,3
13,Rosa's Pizza,33,33.755799231186174,-84.389264158008,3
14,Baraka Shawarma,26,33.75646257646296,-84.39088224519561,3
15,Theatrical Outfit,40,33.757137994616215,-84.38939371972418,3
16,Ali Baba,12,33.755703352485,-84.38941938022802,3
17,Buenos Dias Cafe,8,33.75377864365491,-84.38881563060168,3
18,Taqueria on Broad,27,33.755634357666565,-84.38952574300973,3
19,Ted's Montana Grill,0,33.758538,-84.390669,3
20,The Tabernacle,28,33.75871863044298,-84.39145525628788,3
21,Slice Downtown,25,33.756959240042754,-84.39007313055326,3
22,Alma Cocina,24,33.759069943235,-84.387536478439,3
23,Dunkin',10,33.75725023741556,-84.3887729115985,3
24,Roly Poly Sandwiches,36,33.75435826251998,-84.38879116337033,3
25,Get Fruity Cafe,22,33.75628769390578,-84.3918855797567,3
26,Courtyard by Marriott Atlanta Downtown,17,33.75820341244482,-84.38808864368184,3
27,Atlanta Grill,0,33.75859745768548,-84.38755164485494,3
28,Sweet Georgia's Juke Joint,38,33.75867604101219,-84.38774354786175,3
29,Jersey Mike's Subs,36,33.755909,-84.391289,3
30,Sensational Subs,36,33.754621754926134,-84.38816843754053,3
31,Kung Fu Tea,2,33.75431745669135,-84.38842254951663,3
32,Park Bar,39,33.75819,-84.392779,3
33,Rising Roll Gourmet,36,33.756588,-84.388095,3
34,Red Phone Booth,1,33.75957510929371,-84.38690632129897,1
35,"Glenn Hotel, Autograph Collection",17,33.75701982286271,-84.39304121219266,1
36,Georgia-Pacific Center,29,33.75821220858665,-84.38727596262589,3
37,"Sun Dial Restaurant, Bar & View",18,33.75947803596591,-84.38857976983876,3
38,The Masquerade,28,33.75171952169695,-84.38973873781782,0
39,Glenn's Kitchen,0,33.75710834122937,-84.39276600830355,3
40,SkyView Atlanta,41,33.75886526317255,-84.39196291984763,3
41,Pittypat's Porch,38,33.75966491359092,-84.38847406546165,3
42,The Westin Lobby Bar,18,33.75958908455628,-84.38836601152384,3
43,The Westin Peachtree Plaza,17,33.7594111,-84.387917,3
44,Georgia Railroad Freight Depot,11,33.751478792774975,-84.38822437417265,3
45,Meehan's Public House,21,33.75911585005763,-84.38764152528593,1
46,Hsu's Gourmet,19,33.75956512767296,-84.38608767603405,3
47,Chick-fil-A,13,33.7527686,-84.3856271,3
48,Hard Rock Cafe Atlanta,42,33.7598163,-84.3874499,3
49,Lumen,6,33.758594600201214,-84.38755877118889,3
50,Agatha's: A Taste Of Mystery,35,33.75884,-84.386068,3
51,191 Resolution Fitness,14,33.75905810155014,-84.38753667853118,3
52,Waffle House,13,33.75725953878281,-84.38436135748842,3
53,Gold's Gym,15,33.75982503286739,-84.38761989335255,3
54,Hurt Park,30,33.75420529617853,-84.3855004193557,3
55,Atlanta Streetcar - Centennial Olympic Park,43,33.759398,-84.391975,3
